Jahr,Reihenfolge,Reihenfolge nur Strophen,Strophe?,Künstler,Strophentitel,Kwartal,Startzeit,Startzeit (s),Startzeit (m),Dauer (s),Dauer (m),Sprache,Sprache gruppiert,Sprache gruppiert 2,Künstlerische Relevanz,Musikalische Härte,BPM (Start),Tanzbarkeit,Verblödungsfaktor,Nervofantigkeit,Weirdness,Nationalität,Nationalität gruppiert,Kontinent,Baujahr,Baujahr Jahrzehnt,Alter in Jahren,Takt,Vorschlag von?,Biermusik?,Relevanz x Dauer,Härte x Dauer,BPM x Dauer,Tanzbarkeit x Dauer,Verblödungsfaktor x Dauer,Nervofantigkeit x Dauer,Weirdness x Dauer
2019,1,,FALSE,20th Century Flute,20th Century Flute theme,,00:00,0,0.00,21,0.35,Instrumental,Instrumental,Instrumental,,,,,,,,?,?,?,2013,2010er,6,,Luca,,,,0,0,0,0,0
2019,2,1,TRUE,Seppli MC,Ueli Vuitton,,00:21,21,0.35,136,2.27,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,3,5,60,6,7,6,5,Schweiz,Schweiz,Europa,2018,2010er,1,4/4,Capo,,408,680,8160,816,952,816,680
2019,3,,FALSE,Bratwurst mit Senf,Anfängerfehler in St.Gallen,,02:37,157,2.62,5,0.08,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,,,,,,,,Schweiz,Schweiz,Europa,2016,2010er,3,,Ste,,,,0,0,0,0,0
2019,4,2,TRUE,Jack Stoiker,Alti Wunde,7 - Jack Stoiker,02:42,162,2.70,120,2.00,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,4,3,80,2,8,7,6,Schweiz,Schweiz,Europa,1998,1990er,21,4/4,Ste,,480,360,9600,240,960,840,720
2019,5,3,TRUE,Die Kassierer,Besoffen sein,,04:42,282,4.70,169,2.82,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,2,7,136,4,9,5,4,Deutschland,Deutschland,Europa,1999,1990er,20,4/4,Mad,?,338,1183,22984,676,1521,845,676
2019,6,,FALSE,Bratwurst mit Senf,Grüsel,,07:31,451,7.52,7,0.12,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,,,,,,,,Schweiz,Schweiz,Europa,2016,2010er,3,,Ste,,,,0,0,0,0,0
2019,7,4,TRUE,M.A. Numminen,"Yes Sir, ich kann Boogie",,07:38,458,7.63,217,3.62,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,7,4,148,7,5,4,5,Finnland,Europa Rest,Europa,2001,2000er,18,4/4,Capo,,1519,868,32116,1519,1085,868,1085
2019,8,5,TRUE,Davay feat. Arnie,Tri Pumploski,,11:15,675,11.25,138,2.30,Russisch,Andere,Andere,2,8,165,5,6,6,6,Russland,Europa Rest,Europa,2016,2010er,3,4/4,Ste,,276,1104,22770,690,828,828,828
2019,9,6,TRUE,Simon Krätschmer,Ich trink Bier du trinkst Bier,,13:33,813,13.55,49,0.82,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,1,2,130,4,9,6,2,Deutschland,Deutschland,Europa,2015,2010er,4,4/4,Luca,x,49,98,6370,196,441,294,98
2019,10,,FALSE,Bratwurst mit Senf,Grundsätzlich nöd,,14:22,862,14.37,7,0.12,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,,,,,,,,Schweiz,Schweiz,Europa,2016,2010er,3,,Ste,,,,0,0,0,0,0
2019,11,7,TRUE,Los Colorados,Du hast,,14:29,869,14.48,207,3.45,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,5,5,155,7,6,3,4,Ukraine,Europa Rest,Europa,2012,2010er,7,4/4,Luca,,1035,1035,32085,1449,1242,621,828
2019,12,,FALSE,Olli,I lass mi Scheide,,17:56,1076,17.93,12,0.20,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,,,,,,,,Deutschland,Deutschland,Europa,2016,2010er,3,,Mad,,,,0,0,0,0,0
2019,13,8,TRUE,Creme de la creme,Titten,3 - Legenden 2,18:08,1088,18.13,232,3.87,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,6,4,98,6,6,3,4,Deutschland,Deutschland,Europa,1998,1990er,21,4/4,Mad,,1392,928,22736,1392,1392,696,928
2019,14,9,TRUE,Dr Klenk,In der Tat,,22:00,1320,22.00,78,1.30,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,1,7,140,3,9,8,6,Deutschland,Deutschland,Europa,2011,2010er,8,4/4,Ste,,78,546,10920,234,702,624,468
2019,15,10,TRUE,Barry Manilow,Mandy,,23:18,1398,23.30,190,3.17,Englisch,Englisch,Englisch,4,2,105,2,2,7,1,USA,USA,Nordamerika,1973,1970er,46,4/4,Ste,,760,380,19950,380,380,1330,190
2019,16,,FALSE,Simpsons,Boourns,,26:28,1588,26.47,23,0.38,Englisch,Englisch,Englisch,,,,,,,,USA,USA,Nordamerika,1995,1990er,24,,Mad,,,,0,0,0,0,0
2019,17,11,TRUE,Chicks on Speed,We don't play guitars,,26:51,1611,26.85,232,3.87,Englisch,Englisch,Englisch,7,7,104,5,3,4,3,USA,USA,Nordamerika,2003,2000er,16,4/4,Mad,,1624,1624,24128,1160,696,928,696
2019,18,,FALSE,Bratwurst mit Senf,Abscheulich,,30:43,1843,30.72,13,0.22,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,,,,,,,,Schweiz,Schweiz,Europa,2016,2010er,3,,Ste,,,,0,0,0,0,0
2019,19,12,TRUE,Jacques Dutronc,Et moi et moi et moi,,30:56,1856,30.93,163,2.72,Französisch,Andere,Andere,6,5,168,7,2,3,3,Frankreich,Europa Rest,Europa,1966,1960er,53,4/4,Ste,,978,815,27384,1141,326,489,489
2019,20,,FALSE,Chrigel Gross,Premier demi-temps excellent,,33:39,2019,33.65,6,0.10,Französisch,Andere,Andere,,,,,,,,Schweiz,Schweiz,Europa,2001,2000er,18,,Ste,,,,0,0,0,0,0
2019,21,13,TRUE,Michel Villa,Der Tarzan Jodel,,33:45,2025,33.75,131,2.18,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,4,3,109,6,7,7,5,Schweiz,Schweiz,Europa,1978,1970er,41,4/4,Ste,,524,393,14279,786,917,917,655
2019,22,,FALSE,Ostschweizer 1,N Bier,,35:56,2156,35.93,10,0.17,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,,,,,,,,Schweiz,Schweiz,Europa,2018,2010er,1,,Ste,,,,0,0,0,0,0
2019,23,14,TRUE,Werner Wichtig,Pump ab das Bier,,36:06,2166,36.10,196,3.27,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,1,6,126,5,9,7,3,Deutschland,Deutschland,Europa,1989,1980er,30,4/4,Luca,x,196,1176,24696,980,1764,1372,588
2019,24,,FALSE,Ostschweizer 2,Foif Schlongen gehen auä die Stonge rauf,,39:22,2362,39.37,25,0.42,Schweizerdeutsch,Schweizerdeutsch,Deutsch und Schweizerdeutsch,,,,,,,,Schweiz,Schweiz,Europa,2018,2010er,1,,Ste,,,,0,0,0,0,0
2019,25,15,TRUE,Crucified feat. Bruce almighty,That music gibberish,,39:47,2387,39.78,120,2.00,Englisch,Englisch,Englisch,5,6,120,2,6,8,8,USA,USA,Nordamerika,2014,2010er,5,4/4,Ste,,600,720,14400,240,720,960,960
2019,26,16,TRUE,Soeur sourire,Dominique,,41:47,2507,41.78,170,2.83,Französisch,Andere,Andere,4,1,136,2,1,3,3,Belgien,Europa Rest,Europa,1963,1960er,56,4/4,Ste,,680,170,23120,340,170,510,510
2019,27,,FALSE,Simpsons,Un deux trois,,44:37,2677,44.62,3,0.05,Französisch,Andere,Andere,,,,,,,,USA,USA,Nordamerika,2007,2000er,12,,Mad,,,,0,0,0,0,0
2019,28,17,TRUE,Jeans Team,Haddu Zeit,,44:40,2680,44.67,76,1.27,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,1,4,166,3,9,9,7,Deutschland,Deutschland,Europa,2013,2010er,6,4/4,Mad?,,76,304,12616,228,684,684,532
2019,29,18,TRUE,HGich.T,Tanke,,45:56,2756,45.93,163,2.72,Deutsch,Deutsch,Deutsch und Schweizerdeutsch,6,6,163,6,9,6,7,Deutschland,Deutschland,Europa,2011,2010er,8,4/4,Ste,?,978,978,26569,978,1467,978,1141
2019,30,19,TRUE,Eek-a-mouse,Anarexol,,48:39,2919,48.65,252,4.20,Englisch,Englisch,Englisch,6,5,74,4,5,5,5,Jamaika,Rest der Welt,Nordamerika,1984,1980er,35,4/4,Luca,,1512,1260,18648,1008,1260,1260,1260
